2025-07-12 00:44:06.278 INFO: ===========VERIFYING SETTINGS===========
2025-07-12 00:44:06.278 INFO: MACE version: 0.3.13
2025-07-12 00:44:06.374 INFO: CUDA version: 12.4, CUDA device: 0
2025-07-12 00:44:06.754 INFO: ===========LOADING INPUT DATA===========
2025-07-12 00:44:06.754 INFO: Using heads: ['Default']
2025-07-12 00:44:06.754 INFO: Using the key specifications to parse data:
2025-07-12 00:44:06.754 INFO: Default: KeySpecification(info_keys={'energy': 'None', 'stress': 'None', 'virials': 'REF_virials', 'dipole': 'dipole', 'polarizability': 'susceptibility_tensor', 'head': 'head'}, arrays_keys={'forces': 'None', 'dipole_deriv': 'dipole_deriv', 'polarizability_deriv': 'raman_tensor'})
2025-07-12 00:44:06.754 INFO: =============    Processing head Default     ===========
2025-07-12 00:44:06.940 INFO: Training set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 220, head: 220, forces: 0, dipole_deriv: 0, polarizability_deriv: 220]
2025-07-12 00:44:06.941 INFO: Total Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 220, head: 220, forces: 0, dipole_deriv: 0, polarizability_deriv: 220]
2025-07-12 00:44:06.941 INFO: No validation set provided, splitting training data instead.
2025-07-12 00:44:06.943 INFO: Using random 5% of training set for validation with indices saved in: ./valid_indices_123.txt
2025-07-12 00:44:06.944 INFO: Random Split Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 209, head: 209, forces: 0, dipole_deriv: 0, polarizability_deriv: 209]
2025-07-12 00:44:06.945 INFO: Random Split Validation set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 11, head: 11, forces: 0, dipole_deriv: 0, polarizability_deriv: 11]
2025-07-12 00:44:07.094 INFO: Test set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 220, head: 220, forces: 0, dipole_deriv: 0, polarizability_deriv: 220]
2025-07-12 00:44:07.095 INFO: Total Test set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 220, head: 220, forces: 0, dipole_deriv: 0, polarizability_deriv: 220]
2025-07-12 00:44:07.095 INFO: Total number of configurations: train=209, valid=11, tests=[Default_Default: 220],
2025-07-12 00:44:07.096 INFO: Atomic Numbers used: [16, 34, 42, 74]
2025-07-12 00:44:07.096 INFO: Processing datasets for head 'Default'
2025-07-12 00:44:07.370 INFO: Combining 1 list datasets for head 'Default'
2025-07-12 00:44:07.379 INFO: Head 'Default' training dataset size: 209
2025-07-12 00:44:07.379 INFO: Computing average number of neighbors
2025-07-12 00:44:07.662 INFO: Average number of neighbors: 18.966666666666665
2025-07-12 00:44:07.662 INFO: During training the following quantities will be reported: dipoles, polarizability, dipole_deriv, polarizability_deriv
2025-07-12 00:44:07.662 INFO: ===========MODEL DETAILS===========
2025-07-12 00:44:07.663 INFO: Building model
2025-07-12 00:44:07.663 INFO: Message passing with 128 channels and max_L=2 (128x0e + 128x1o + 128x2e)
2025-07-12 00:44:07.663 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-07-12 00:44:07.663 INFO: 8 radial and 5 basis functions
2025-07-12 00:44:07.663 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2025-07-12 00:44:07.663 INFO: Distance transform for radial basis functions: None
2025-07-12 00:44:07.664 INFO: Hidden irreps: 128x0e + 128x1o + 128x2e
2025-07-12 00:44:10.584 INFO: Total number of parameters: 1104272
2025-07-12 00:44:10.584 INFO: 
2025-07-12 00:44:10.584 INFO: ===========OPTIMIZER INFORMATION===========
2025-07-12 00:44:10.584 INFO: Using ADAM as parameter optimizer
2025-07-12 00:44:10.584 INFO: Batch size: 10
2025-07-12 00:44:10.584 INFO: Number of gradient updates: 41800
2025-07-12 00:44:10.584 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-07-12 00:44:10.585 INFO: DipolePolarizabilityDerivLoss(dipole_weight=0.000, polarizability_weight=10.000, dipole_deriv_weight=0.000, polarizability_deriv_weight=1.000)
2025-07-12 00:44:10.590 WARNING: Cannot find checkpoint with tag 'MoWSSe_susram_ndata_all_subset_220_weights_10_1_run-123' in './checkpoints'
2025-07-12 00:44:10.590 INFO: Using gradient clipping with tolerance=10.000
2025-07-12 00:44:10.590 INFO: 
2025-07-12 00:44:10.590 INFO: ===========TRAINING===========
2025-07-12 00:44:10.590 INFO: Started training, reporting errors on validation set
2025-07-12 00:44:10.590 INFO: Loss metrics on validation set
2025-07-12 00:44:15.491 INFO: Initial: head: Default, loss=370.7788, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=   11.54, RMSE_ALPHA_DERIV=   13.52
2025-07-12 00:56:57.220 INFO: Epoch 18: head: Default, loss=10.7837, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    4.48
2025-07-12 00:57:36.962 INFO: Epoch 19: head: Default, loss=8.3745, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.33, RMSE_ALPHA_DERIV=    4.07
2025-07-12 00:58:16.695 INFO: Epoch 20: head: Default, loss=7.3508, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.29, RMSE_ALPHA_DERIV=    3.85
2025-07-12 00:58:56.435 INFO: Epoch 21: head: Default, loss=8.5835, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    3.97
2025-07-12 00:59:36.176 INFO: Epoch 22: head: Default, loss=7.7805, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.13, RMSE_ALPHA_DERIV=    3.90
2025-07-12 01:00:15.934 INFO: Epoch 23: head: Default, loss=5.1896, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    3.47
2025-07-12 01:00:55.714 INFO: Epoch 24: head: Default, loss=5.7642, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    3.56
2025-07-12 01:01:35.458 INFO: Epoch 25: head: Default, loss=5.8932, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    3.43
2025-07-12 01:02:15.198 INFO: Epoch 26: head: Default, loss=5.8473, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.32, RMSE_ALPHA_DERIV=    3.52
2025-07-12 01:02:54.933 INFO: Epoch 27: head: Default, loss=7.5127, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    3.82
2025-07-12 01:03:34.666 INFO: Epoch 28: head: Default, loss=5.0724, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.31, RMSE_ALPHA_DERIV=    3.28
2025-07-12 01:04:14.446 INFO: Epoch 29: head: Default, loss=7.2973, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.36, RMSE_ALPHA_DERIV=    3.58
2025-07-12 01:04:54.169 INFO: Epoch 30: head: Default, loss=5.1056, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.17, RMSE_ALPHA_DERIV=    3.35
2025-07-12 01:05:33.898 INFO: Epoch 31: head: Default, loss=7.6449, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    3.77
2025-07-12 01:06:13.634 INFO: Epoch 32: head: Default, loss=6.0298, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    3.53
2025-07-12 01:06:53.362 INFO: Epoch 33: head: Default, loss=3.9466, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    3.09
2025-07-12 01:07:33.136 INFO: Epoch 34: head: Default, loss=5.4809, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.26, RMSE_ALPHA_DERIV=    3.42
2025-07-12 01:08:12.871 INFO: Epoch 35: head: Default, loss=6.2175, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    3.36
2025-07-12 01:08:52.602 INFO: Epoch 36: head: Default, loss=5.6524, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.33, RMSE_ALPHA_DERIV=    3.23
2025-07-12 01:09:32.345 INFO: Epoch 37: head: Default, loss=5.7285, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.23, RMSE_ALPHA_DERIV=    3.29
2025-07-12 01:10:12.087 INFO: Epoch 38: head: Default, loss=8.4299, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.40, RMSE_ALPHA_DERIV=    3.78
2025-07-12 01:10:51.828 INFO: Epoch 39: head: Default, loss=5.7951, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    3.26
2025-07-12 01:11:31.553 INFO: Epoch 40: head: Default, loss=7.1199, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.31, RMSE_ALPHA_DERIV=    3.47
2025-07-12 01:12:11.294 INFO: Epoch 41: head: Default, loss=4.8613, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    3.09
2025-07-12 01:12:51.037 INFO: Epoch 42: head: Default, loss=5.2298, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    3.16
2025-07-12 01:13:30.766 INFO: Epoch 43: head: Default, loss=4.9969, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.26, RMSE_ALPHA_DERIV=    3.10
2025-07-12 01:14:10.496 INFO: Epoch 44: head: Default, loss=4.1805, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.09, RMSE_ALPHA_DERIV=    2.91
2025-07-12 01:14:50.219 INFO: Epoch 45: head: Default, loss=3.6297, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.26, RMSE_ALPHA_DERIV=    2.95
2025-07-12 01:15:29.992 INFO: Epoch 46: head: Default, loss=5.4647, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.18, RMSE_ALPHA_DERIV=    3.11
2025-07-12 01:16:09.724 INFO: Epoch 47: head: Default, loss=5.1375, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    2.98
2025-07-12 01:16:49.448 INFO: Epoch 48: head: Default, loss=5.1540, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    3.09
2025-07-12 01:17:29.168 INFO: Epoch 49: head: Default, loss=5.8980, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    3.21
2025-07-12 01:18:08.901 INFO: Epoch 50: head: Default, loss=4.0036, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    2.97
2025-07-12 01:18:48.627 INFO: Epoch 51: head: Default, loss=7.2564, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.38, RMSE_ALPHA_DERIV=    3.39
2025-07-12 01:19:28.360 INFO: Epoch 52: head: Default, loss=6.5379, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    3.31
2025-07-12 01:20:08.100 INFO: Epoch 53: head: Default, loss=4.0259, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    2.80
2025-07-12 01:20:47.835 INFO: Epoch 54: head: Default, loss=5.5915, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.26, RMSE_ALPHA_DERIV=    3.05
2025-07-12 01:21:27.579 INFO: Epoch 55: head: Default, loss=5.1890, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.13, RMSE_ALPHA_DERIV=    3.04
2025-07-12 01:22:07.311 INFO: Epoch 56: head: Default, loss=5.2719, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.11, RMSE_ALPHA_DERIV=    3.11
2025-07-12 01:22:47.041 INFO: Epoch 57: head: Default, loss=4.7057, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    2.84
2025-07-12 01:23:26.768 INFO: Epoch 58: head: Default, loss=5.6049, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.26, RMSE_ALPHA_DERIV=    3.04
2025-07-12 01:24:06.493 INFO: Epoch 59: head: Default, loss=5.5557, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    3.08
2025-07-12 01:24:46.225 INFO: Epoch 60: head: Default, loss=4.4139, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    2.78
2025-07-12 01:25:25.955 INFO: Epoch 61: head: Default, loss=4.7876, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.10, RMSE_ALPHA_DERIV=    2.87
2025-07-12 01:26:05.688 INFO: Epoch 62: head: Default, loss=3.5162, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.17, RMSE_ALPHA_DERIV=    2.62
2025-07-12 01:26:45.476 INFO: Epoch 63: head: Default, loss=3.7000, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    2.63
2025-07-12 01:27:25.199 INFO: Epoch 64: head: Default, loss=5.0388, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    2.87
2025-07-12 01:28:04.950 INFO: Epoch 65: head: Default, loss=4.2134, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.17, RMSE_ALPHA_DERIV=    2.75
2025-07-12 01:28:44.681 INFO: Epoch 66: head: Default, loss=3.9953, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    2.64
2025-07-12 01:29:24.413 INFO: Epoch 67: head: Default, loss=3.6348, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.13, RMSE_ALPHA_DERIV=    2.62
2025-07-12 01:30:04.143 INFO: Epoch 68: head: Default, loss=4.8914, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.09, RMSE_ALPHA_DERIV=    2.89
2025-07-12 01:30:43.876 INFO: Epoch 69: head: Default, loss=3.7613, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.17, RMSE_ALPHA_DERIV=    2.58
2025-07-12 01:31:23.607 INFO: Epoch 70: head: Default, loss=3.1751, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.23, RMSE_ALPHA_DERIV=    2.66
2025-07-12 01:32:03.379 INFO: Epoch 71: head: Default, loss=3.7292, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    2.58
